datetime,open,high,low,close
2021-12-09,1782.495,1788.05005,1772.79504,1774.45996
2021-12-10,1774.94495,1789.47498,1769.43005,1782.51001
2021-12-13,1782.94495,1791.78003,1781.51001,1786.94324
2021-12-14,1787.19495,1789.745,1766.30505,1770.17578
2021-12-15,1770.495,1781.03772,1753.8396,1777.06006
2021-12-16,1777.39502,1799.53003,1775.43005,1799.02722
2021-12-17,1799.54504,1814.625,1795.66504,1797.68201
2021-12-20,1799.39502,1804.32495,1787.97803,1789.31799
2021-12-21,1789.745,1800.84998,1784.57996,1788.36035
2021-12-22,1788.94495,1805.13,1785.40503,1803.39539
2021-12-23,1803.69495,1811.01501,1798.88,1807.91003
2021-12-24,1808.19495,1812.70496,1801.60999,1808.11499
2021-12-27,1808.19495,1813.73999,1802.89001,1810.90002
2021-12-28,1811.84497,1820.69995,1804.375,1805.36572
2021-12-29,1805.59497,1808.16003,1788.94495,1803.66003
2021-12-30,1803.995,1817.44495,1795.78003,1815.01086
2021-12-31,1815.44495,1830.57996,1814.14673,1828.39026
2022-01-03,1830.13501,1832.06006,1797.93005,1800.84875
2022-01-04,1801.34497,1816.82996,1798.43994,1814.56006
2022-01-05,1814.89502,1829.82495,1807.97498,1809.53418
2022-01-06,1809.94495,1811.88831,1786.03003,1788.67578
2022-01-07,1789.54504,1799.19995,1782.63,1795.63208
2022-01-10,1795.40503,1802.57495,1790.42505,1801.4054
2022-01-11,1801.69495,1823.35498,1800.09497,1822.01001
2022-01-12,1822.495,1828.33496,1814.20496,1825.31946
2022-01-13,1825.94495,1828.38,1811.82996,1822.08765
2022-01-14,1822.54504,1829.66003,1814.13,1817.21899
2022-01-17,1817.89502,1823.72498,1812.66504,1818.98999
2022-01-18,1819.77002,1823.01001,1805.53003,1813.53674
2022-01-19,1813.69495,1843.72339,1809.97498,1839.95996
2022-01-20,1840.29504,1848.35999,1835.66504,1838.35999
2022-01-21,1838.64502,1843.53003,1828.04004,1833.23865
2022-01-24,1834.495,1844.53003,1829.09497,1843.06006
2022-01-25,1843.34497,1853.98499,1834.64001,1847.56006
2022-01-26,1847.995,1850.44202,1814.89502,1818.11707
2022-01-27,1818.44495,1822.505,1790.97998,1796.51001
2022-01-28,1796.94495,1799.81995,1779.88,1791.03357
2022-01-31,1791.19495,1800.22998,1785.03003,1796.46863
2022-02-01,1796.71997,1809.16003,1795.13,1800.65186
2022-02-02,1800.94495,1811.53003,1794.11499,1806.49756
2022-02-03,1807.19495,1809.22498,1788.39001,1804.40466
2022-02-04,1804.79504,1815.43506,1790.94495,1807.49402
2022-02-07,1806.98999,1824.05505,1806.94495,1820.31006
2022-02-08,1820.59497,1829.08997,1815.06494,1825.48486
2022-02-09,1826.04504,1836.34998,1824.5,1832.42554
2022-02-10,1832.94495,1842.35498,1821.46497,1826.57007
2022-02-11,1827.25,1865.625,1820.79004,1859.95911
2022-02-14,1861.54504,1874.40503,1850.45496,1870.2948
2022-02-15,1870.94495,1879.89001,1844.26501,1853.06006
2022-02-16,1853.39502,1873.15503,1849.93994,1868.36743
2022-02-17,1868.84497,1901.56995,1867.17505,1897.26965
2022-02-18,1897.94495,1902.83618,1886.15503,1897.86804
2022-02-21,1900.39502,1908.37805,1887.18994,1905.63477
2022-02-22,1905.88953,1914.44495,1891.15503,1898.1344
2022-02-23,1898.44495,1911.0,1889.22998,1907.54944
