date,close,high,low,open,volume,engulfing,star,signal,target_amount,target_category
1980-12-16,0.08659354597330093,0.08702219745467438,0.08659354597330093,0.08702219745467438,105728000,0,0,0,0.0,0
1980-12-17,0.08873681724071503,0.08916547445726596,0.08873681724071503,0.08873681724071503,86441600,0,0,0,0.0,0
1980-12-18,0.09130948781967163,0.09173813918020261,0.09130948781967163,0.09130948781967163,73449600,0,0,0,0.0,0
1980-12-19,0.09688202291727066,0.09731068017295988,0.09688202291727066,0.09688202291727066,48630400,0,0,0,0.0,0
1980-12-22,0.10159721225500107,0.1020266363879695,0.10159721225500107,0.10159721225500107,37363200,0,0,0,0.0,0
1980-12-23,0.10588449984788895,0.10631315696125754,0.10588449984788895,0.10588449984788895,46950400,0,0,0,0.0,0
1980-12-24,0.11145702749490738,0.11188568468332696,0.11145702749490738,0.11145702749490738,48003200,0,0,0,0.0,0
1980-12-26,0.12174549698829651,0.12217415417214617,0.12174549698829651,0.12174549698829651,55574400,0,0,0,0.0,0
1980-12-29,0.12346011400222778,0.12388877118512462,0.1234601140022278,0.1234601140022278,93161600,0,0,0,0.0,0
1980-12-30,0.12045955657958984,0.12088820238648877,0.12045955657958986,0.12088820238648877,68880000,0,0,0,0.0,0
1980-12-31,0.11703029274940491,0.11745894989824691,0.11703029274940491,0.11745894989824691,35750400,0,0,0,0.0,0
1981-01-02,0.11831624805927277,0.11917356232297598,0.11831624805927277,0.11831624805927277,21660800,0,0,0,0.0,0
1981-01-05,0.11574430018663406,0.11617294576784595,0.11574430018663406,0.11617294576784595,35728000,0,0,0,0.0,0
1981-01-06,0.11059976369142532,0.11102842107585474,0.11059976369142532,0.11102842107585474,45158400,0,0,0,0.0,0
1981-01-07,0.10588449984788895,0.10631315696125754,0.10588449984788895,0.10631315696125754,55686400,0,0,0,0.0,0
1981-01-08,0.10374127328395844,0.10416991909948937,0.10374127328395844,0.10416991909948937,39827200,0,0,0,0.0,0
1981-01-09,0.10931374877691269,0.10974240594877267,0.10931374877691269,0.10931374877691269,21504000,0,0,0,0.0,0
1981-01-12,0.10845649242401123,0.10931379568860396,0.10845649242401123,0.10931379568860396,23699200,0,0,0,0.0,0
1981-01-13,0.1045985072851181,0.10502716426460243,0.1045985072851181,0.10502716426460243,23049600,0,0,0,0.0,0
1981-01-14,0.1050272285938263,0.10545588583586338,0.10502722859382631,0.10502722859382631,14291200,0,0,0,0.0,0
1981-01-15,0.10717049241065979,0.1080277953601314,0.10717049241065979,0.10717049241065979,14067200,0,0,0,0.0,0
1981-01-16,0.10631321370601654,0.10674187104818132,0.10631321370601654,0.10674187104818132,13395200,0,0,0,0.0,0
1981-01-19,0.11274297535419464,0.11317163249600483,0.11274297535419464,0.11274297535419464,41574400,0,0,0,0.0,0
1981-01-20,0.10931374877691269,0.10974240594877267,0.10931374877691269,0.10974240594877267,30083200,0,0,0,0.0,0
1981-01-21,0.11145702749490738,0.1123143304247097,0.11145702749490738,0.11145702749490738,15904000,0,0,0,0.0,0
1981-01-22,0.11274297535419464,0.11360028963781503,0.11274297535419464,0.11274297535419464,35548800,0,0,0,0.0,0
1981-01-23,0.11231433600187302,0.11317165042128359,0.11231433600187302,0.1127429932115783,11222400,0,0,0,0.0,0
1981-01-26,0.11059976369142532,0.11102842107585474,0.11059976369142532,0.11102842107585474,24640000,0,0,0,0.0,0
1981-01-27,0.10974239557981491,0.11059969839549665,0.10974239557981491,0.11059969839549665,23699200,0,0,0,0.0,0
1981-01-28,0.10631321370601654,0.10674187104818132,0.10631321370601654,0.10674187104818132,28156800,0,0,0,0.0,0
1981-01-29,0.1024552583694458,0.10288391545157964,0.10245525836944581,0.10288391545157964,43904000,0,0,0,0.0,0
1981-01-30,0.09688202291727066,0.09773933742864911,0.09688202291727066,0.09773933742864911,46188800,0,0,0,0.0,0
1981-02-02,0.09130948781967163,0.09173813918020261,0.09130948781967163,0.09173813918020261,23766400,0,0,0,0.0,0
1981-02-03,0.09473870694637299,0.09516735824061182,0.09473870694637299,0.09473870694637299,19152000,0,0,0,0.0,0
1981-02-04,0.0981680154800415,0.09859666137949553,0.0981680154800415,0.0981680154800415,27865600,0,0,0,0.0,0
